Companies,URL,Description,Industry,Sub-Industry,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Company Status,Founded Year,City,State,Latest Valuation (M),Date of Exit,Latest Exit Round,Latest Full Year Revenue Min (M),Latest Full Year Revenue Max (M),Revenue Time Period
AutoComputer,autocomputer.ai,"AutoComputer develops artificial intelligence (AI) systems to automate workflows. The company's platform offers financial data entry, zero-configuration automation, full visibility and control, custom software files, and websites, enabling users to automate complex computer usage workflows into simpler forms. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,HR & Workforce Management,United States,0.50,"Haystack Fund, Y Combinator",0.50,Convertible Note,2024-01-01,Alive / Active,2024,San Francisco,California,,,,,,
CloudX,cloudx.io,"CloudX is a supply side platform focused on mobile advertising and artificial intelligence within the advertising technology sector. The company provides tools that aim to support mobile publishers through AI workflows and a marketplace. CloudX serves the mobile publishing industry, offering monetization options and an auction process for advertisers. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,Advertising Network or Exchange,United States,30.00,"Addition, Breakpoint Capital, DST Global, Eniac Ventures, Javelin, Terrain",30.00,Series A,2025-11-13,Alive / Active,2025,San Francisco,California,,,,,,
Cyata,cyata.ai,"Cyata focuses on safeguarding businesses against digital impersonation, online fraud, and social engineering attacks. It uses advanced AI and machine learning to identify threats across platforms, helping organizations protect their digital identity and prevent cyberattacks. It was founded in 2024 and is based in Tel Aviv, Israel.",Internet Software & Services,Monitoring & Security,Israel,8.50,"Ron Serber, TLV Partners, Yossi Carmil",8.50,Seed VC,2025-07-30,Alive / Active,2024,Tel Aviv,,,,,,,
Claros,claros.tech,"Claros focuses on optimizing power delivery and energy efficiency for data centers within the technology sector. The company provides hardware and software solutions aimed at improving compute density and performance of data centers and their AI applications. Claros serves the data center and artificial intelligence sectors. It was founded in 2024 and is based in Torrance, California.",Internet Software & Services,Application & Data Integration,United States,9.75,"Dominion Energy Innovation Center, Shorewind Capital, Composite Capital Partners, General Catalyst, Red Cell Partners, Virginia Venture Partners",9.75,Seed VC,2025-02-27,Alive / Active,2024,Torrance,California,,,,,,
Oasis Learning AI,oasislearning.ai,"Oasis Learning AI focuses on redefining workforce training through advanced artificial intelligence technologies in the workforce development sector. The company offers personalized, scalable, and dynamically updated training programs designed to meet the needs of the workforce. It primarily serves the human resource industry. The company was founded in 2024 and is based in Montreal, Canada.",Mobile Software & Services,HR & Workforce Management,Canada,1.30,"Techstars Chicago Powered by J.P. Morgan, SAAS NORTH Pitchfest, BDC Capital, BKR Capital, Capital M Ventures, Techstars Chicago, The Firehood Angels, Women's Equity Lab",1.04,Convertible Note,2025-01-01,Alive / Active,2024,Montreal,Quebec,,,,,,
Zenline AI,tryzenline.ai,"Zenline AI provides artificial intelligence solutions for retail assortment optimization within the retail sector. The company offers insights and recommendations to improve product assortments, pricing strategies, and margin enhancement for teams in retail. Zenline AI's services are designed to support omnichannel retailers and are backed by experts to ensure impact. It was founded in 2024 and is based in Zurich, Switzerland.",E-Commerce,Other Retail,Switzerland,1.60,"Seedcamp, First Momentum Ventures, Yellow, arc investors",1.60,Pre-Seed - II,2025-08-26,Alive / Active,2024,Zurich,,,,,,,
Olares,one.olares.com,"Olares focuses on providing computing solutions within the field of artificial intelligence. Its main product, Olares One, is a desktop computer designed to run AI models and applications, processing data locally. Olares also offers services including an open-source operating system, application management, and security features. It was founded in 2025 and is based in Singapore.",Internet Software & Services,Application & Data Integration,Singapore,45.00,SIG Venture Capital,45.00,Series A,2025-11-10,Alive / Active,2025,,,,,,,,
Silurian AI,silurian.ai,"Silurian AI specializes in developing foundation models for simulating Earth, focusing on weather within technology and artificial intelligence sectors. The company provides simulation capabilities for risk assessment in wildfires, energy generation and demand prediction, and decision-making across sectors like insurance, agriculture, defense, and logistics. Silurian AI's models aim to improve understanding and forecasting of Earth's systems to support infrastructure and planning. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,0.50,"Pioneer Fund, Plug and Play Travel & Hospitality, Y Combinator",0.50,Convertible Note,2024-09-26,Alive / Active,2024,San Francisco,California,,,,,,
Pixeltable,pixeltable.com,"Pixeltable focuses on artificial intelligence (AI) data infrastructure, enabling incremental builds for multimodal AI applications. The company provides a platform that transforms multimodal data pipelines into table operations, with features such as unified storage for data types, automatic versioning, indexing, model development support, experiment tracking, and incremental updates. Pixeltable serves developers and engineers in large language models, retrieval-augmented generation, computer vision, and data science. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,5.50,"Bill Hsieh, Exceptional Capital, Liquid 2 Ventures, Michael Stoppelman, Serena Capital, South Park Commons, Steven Mih, The General Partnership, Wes McKinney",5.50,Seed VC,2024-12-05,Alive / Active,2024,San Francisco,California,,,,,,
SolidCore.ai,solidcore.ai,"SolidCore.ai focuses on AI governance, specifically on large language model (LLM)-based applications in the security, legal, and compliance sectors. The company offers a solution that captures and stores generative AI interactions, allowing for monitoring, risk detection, and compliance with regulatory frameworks. SolidCore.ai serves security teams, compliance leads, legal counsel, and ML platform owners in organizations adopting generative AI technologies. It was founded in 2024 and is based in Menlo Park, California.",IT Services,Data Storage & Security,United States,4.00,"Ash Devata, Ben Golub, Brian LaMacchia, Craig Abod, David De Santis, EPIC Ventures, John De Santis, John Rafter, Lockstep Ventures, Lucas Moody, Mario Goertzel, Mercy Dy Caprara, Rinki Sethi, Runtime Ventures, Stephanie Fohn, Tyler De Santis",4.00,Seed VC,2025-09-24,Alive / Active,2024,Menlo Park,California,,,,,,
Dryft,dryft.ai,"Dryft provides artificial intelligence solutions for the manufacturing sector that focus on optimizing decision-making processes. The company offers AI solutions that integrate agent-based intelligence and mathematical optimization with ERP systems to enhance operational efficiency. Dryft's technology is designed to operate autonomously, improving manufacturing operations. It was founded in 2024 and is based in Palo Alto, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,5.00,General Catalyst,5.00,Seed,2025-11-12,Alive / Active,2024,Palo Alto,California,,,,,,
Slashy,slashy.ai,"Slashy integrates advanced conversational intelligence with task execution, positioning itself as ChatGPT with hands. The platform allows users to go beyond traditional chat-based artificial intelligence (AI) by directly automating workflows, performing actions across apps, and handling routine digital tasks within a single interface. It was founded in 2025 and is based in Middletown, Delaware.",Internet Software & Services,HR & Workforce Management,United States,0.50,"Eight Capital Group, Link Ventures, Pioneer Fund, Y Combinator",0.50,Convertible Note,2025-06-01,Alive / Active,2025,Middletown,Delaware,,,,,,
Laminr Technologies,laminr.ai,"Laminr Technologies focuses on the income verification process within the mortgage industry. It provides a platform that uses artificial intelligence (AI) to analyze bank statements and allows for user-defined rules to streamline operations. The company's technology primarily serves the non-Qualified Mortgage (QM) market. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,"Billing, Expense Management & Procurement",United States,4.60,Reformation Partners,2.60,Seed VC,2025-09-30,Alive / Active,2024,New York,New York,,,,,,
Artificial Societies,societies.io,"Artificial Societies creates artificial intelligence (AI) simulations for societal analysis within the technology sector. The company provides tools for predicting human behavior and testing the spread of ideas through simulated environments. These services are relevant to sectors that require an understanding of social dynamics and behavior prediction. It was founded in 2024 and is based in London, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,5.85,"Eight Capital Group, Y Combinator, Carya Venture Partners, Icehouse Ventures, Kindred Capital, Multimodal Ventures, Pioneer Fund, Point72 Ventures, Taro Fukuyama, Transpose Platform, Ventures Together",5.35,Seed VC,2025-08-27,Alive / Active,2024,London,England,,,,,,
Kinetic,kineticapps.ai,"Kinetic focuses on the development and scaling of consumer software. It operates as an artificial intelligence (AI) platform, using a system that integrates studio and development stack elements to build applications, including a system for app development aimed at improving software production. It serves the technology in the consumer software sector. It was founded in 2025 and is based in New York, New York.",Mobile Software & Services,Application Development,United States,27.41,"Roar Venture, AAF Management, Expanding Capital, Google Ventures",23.68,Series A,2025-10-10,Alive / Active,2025,Brooklyn,New York,,,,,,
Fireverse,fireverseai.com,Fireverse integrates artificial intelligence and blockchain technology within the music industry. The company provides a platform for creating AI-generated music and trading music-related non-fungible tokens (NFTs). Fireverse serves the digital asset market by offering solutions that combine music creation with Web 3.0 technology. It was founded in 2024 and is based in Hong Kong.,Internet Software & Services,Asset & Financial Management & Trading,Hong Kong,,"BingX, Central Research, Chain Capital, Gate Labs, Nobody Ventures, OKX Ventures, Stratified Capital, T Fund, TCC Capital",2.50,Series A,2025-02-13,Alive / Active,2024,,,,,,,,
Trismik,trismik.com,"Trismik provides testing technology for AI engineers that operates within the artificial intelligence and natural language processing sectors. The company offers tools to evaluate large language models (LLMs), including horizontal and domain-specific tests that report on LLM performance and weaknesses, utilizing human and LLM judgments for assessments. It was founded in 2024 and is based in Cambridge, United Kingdom.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United Kingdom,2.98,"Twin Path Ventures, University of Cambridge, Start Accelerator, Cambridge Enterprise Ventures, Fund F, Parkwalk Advisors, Vento, Ventures Together",2.98,Pre-Seed,2025-06-10,Alive / Active,2024,Cambridge,England,,2024-01-01,Spinoff / Spinout,,,
Nitrode,nitrode.com,"Nitrode provides an artificial intelligence (AI) native game engine for the gaming industry. Its offering is a game development platform built on Godot 4.0, which enables developers to design, script, and deploy games. The company serves aspiring game developers and gamers interested in creating and sharing games on Nitrode's platform. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Gaming,United States,2.30,"Eight Capital Group, Y Combinator, Clay Capital, Cosmic Venture Partners, Eight Capital, Goodwater Capital, Maiora Ventures, Rebel Fund, Tekedia Capital",1.80,Seed VC,2025-05-07,Alive / Active,2024,San Francisco,California,,,,,,
1001,1001.ai,"1001 specializes in artificial intelligence solutions for complex system management across various sectors. The company provides an operational intelligence platform that aids in decision-making, action orchestration, and outcomes for enterprises. 1001 serves sectors such as construction, ports, energy, and airports, offering AI solutions to improve efficiency and manage risks. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,9.00,"Amira Sajwani, Amjad Masad, Chris Re, Clean Industry Ventures, General Catalyst, Hisham Alfalih, Khalid Bin Bader Al Saud, Lux Capital",9.00,Seed VC,2025-10-20,Alive / Active,2025,San Francisco,California,,,,,,
Mind Robotics,,"Mind Robotics focused on industrial AI applications within the robotics sector. The company specializes in applying machine learning to enhance manufacturing, warehousing, and supply chain operations. Mind Robotics leverages operational data from Rivian's manufacturing and logistics networks to develop its solutions. It was founded in 2025 and is based in Delaware City, Delaware.",Internet Software & Services,"Manufacturing, Warehousing & Industrial",United States,115.00,"Rivian, Eclipse",115.00,Seed VC,2025-11-04,Alive / Active,2025,Delaware City,Delaware,,2025-11-01,Spinoff / Spinout,,,
Reken,reken.ai,"Reken offers an AI platform to protect against generative AI threats within the technology sector. The company offers products that provide security solutions to identify and mitigate risks associated with generative AI.  It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Monitoring & Security,United States,10.00,"FPV Ventures, Fika Ventures, Firebolt Ventures, Greycroft, Homebrew, Jazz Venture Partners, Obvious Ventures, Omega Venture Partners, Sequoia Capital",10.00,Seed VC,2024-01-31,Alive / Active,2024,San Francisco,California,35.55,,,,,
Onos Health,onoshealth.com,"Onos Health provides AI solutions for the healthcare sector. It focuses on health plans assessing provider quality and managing costs. It has a platform with language processing and machine learning to analyze clinical data, identify billing practices, and offer recommendations to enhance member outcomes. It was founded in 2024 and is based in San Francisco, California.",Healthcare Software,,United States,6.30,"Costanoa Ventures, Bertelsmann, Haystack Fund, Nebular, Pathlight Ventures",6.30,Seed VC,2025-05-06,Alive / Active,2024,San Francisco,California,,,,,,
Candid,candidintelligence.com,"Candid provides Artificial Intelligence(AI) driven solutions for Engineering, Procurement, and Construction (EPC) projects. It offers services such as bid proposal drafting, risk identification in design and compliance, cost and schedule modeling, and design validation to enhance engineering efficiency. It serves the EPC industry, focusing on data centers and process plants. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,"Billing, Expense Management & Procurement",United States,5.50,"E14 Fund, Flexcap, Liquid 2 Ventures, Quiet Capital, Yann LeCun",5.50,Seed VC,2025-09-11,Alive / Active,2025,San Francisco,California,,,,,,
Everstar,everstar.ai,"Everstar focuses on the design, licensing, and construction processes for nuclear technologies within the energy sector. The company offers artificial intelligence (AI) solutions that assist with regulatory compliance and model-based design and safety analyses through simulations. Everstar primarily serves sectors involved in the development of nuclear technologies and regulatory compliance. It was founded in 2024 and is based in Newark, Delaware.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,9.50,"Borusan Venture, EXCEL, Generational Partners, Page One Ventures, Pelican Energy Partners, Third Prime Capital, Virta Ventures",4.00,Pre-Seed,2025-02-18,Alive / Active,2024,Newark,Delaware,,,,,,
just words,justwords.ai,"just words is an AI-first marketing platform focused on revolutionizing user-facing messaging within the tech industry. The company offers services that leverage AI to deliver highly personalized content, aiming to optimize messaging and enhance user engagement. just words primarily serves AI-first companies, providing solutions that analyze user behavior and market trends to refine messaging across various channels. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Conferencing & Communication,United States,2.20,"Y Combinator, Peak XV Partners",1.70,Seed VC,2024-08-27,Alive / Active,2024,San Francisco,California,,,,,,
Ed AI,ed.ai,"Ed AI leverages artificial intelligence to assist educators in the educational technology sector. The company offers an automated grading system that aims to reduce correction time, identify student learning gaps, and generate personalized remediation paths. Ed serves the education sector by providing tools related to the grading process and the creation of educational content for teachers. It is based in Paris, France.",Internet Software & Services,Application & Data Integration,France,1.86,"AFI Factory, Kima Ventures, Ring Capital, Super Capital, Ventech, Alliance for Impact",1.86,Seed,2025-04-08,Alive / Active,2024,Lyon,,,,,,,
Enso,enso.bot,"Enso provides an AI marketplace for small businesses, focusing on automation and digital services. It offers a range of automated services delivered by AI bots, including digital marketing, content creation, social media management, and SEO optimization, tailored to meet the specific needs of various industries. Its AI bots are designed to integrate into existing workflows, providing updates and allowing businesses to scale their operations efficiently. The company was founded in 2024 and is based in Tel Aviv, Israel.",Internet Software & Services,"Advertising, Sales & Marketing",Israel,6.00,"DarkMode Ventures, Fresh.Fund, NFX, Shmil Levy, Yossi Matias",6.00,Seed VC,2024-07-09,Alive / Active,2024,Tel Aviv,,,,,,,
nuwacom,nuwacom.ai,"nuwacom focuses on using artificial intelligence to improve productivity and collaboration within organizations, operating in the technology sector. The company provides an AI platform that supports knowledge management, content creation, and workflow automation for marketing, communication, and other teams. nuwacom's solutions are designed to meet security and compliance needs, serving businesses that require data protection and brand consistency. It was founded in 2024 and is based in Koblenz, Germany.",Internet Software & Services,"Advertising, Sales & Marketing",Germany,3.68,Newion Partners,3.68,Seed VC,2025-06-18,Alive / Active,2024,Koblenz,,,,,,,
Cofide,cofide.io,"Cofide focuses on securing workloads across cloud environments with its zero-trust identity platform. Its platform provides credentials for workloads, ensuring security in Kubernetes-native and cloud-native infrastructure. Cofide serves sectors reliant on cloud and artificial intelligence (AI) workloads, addressing security risks associated with non-human Identities. It was founded in 2024 and is based in Canterbury, United Kingdom.",Internet Software & Services,Monitoring & Security,United Kingdom,1.24,"Dig Ventures, Seedcamp",1.24,Pre-Seed,2024-03-12,Alive / Active,2024,Canterbury,England,,,,,,
Town,town.com,"Town offers tax advisory services to small businesses, focusing on delivering support. It offers year-round tax support, strategic planning, and advice tailored to the needs of small businesses. It primarily serves the small business sector, offering integration with common financial tools and leveraging Artificial intelligence (AI) for tax management. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Accounting & Finance,United States,18.00,"Jetstream, Mischief, Position Ventures, Adam D'Angelo, Alt Capital, Christina Cacioppo, Conviction Partners, Defy Partners, Depth Capital Ventures, Helen Min, Immad Akhund, Mischief, Soleio Cuervo, Todd Jackson, William Hockey, WndrCo",18.00,Seed VC,2025-03-14,Alive / Active,2024,San Francisco,California,,,,,,
Figma Weave,weavy.ai,"Figma Weave provides a node-based platform combining artificial intelligence (AI) models and professional editing tools for creative workflows. The platform addresses the requirements of professionals in the creative sector who utilize technology for their work. It was formerly known as Weave. It was founded in 2024 and is based in Dover, Delaware. In October 2025, Figma Weave was acquired by Figma at a valuation of $200M.",Internet Software & Services,Multimedia & Graphics,United States,4.00,"Designer Fund, Entree Capital, Founder Collective, Micha Kaufman, Figma",4.00,Seed VC,2025-06-10,Acquired,2024,Dover,Delaware,200.00,2025-10-30,Acquired,,,
OpenInfer,openinfer.io,"OpenInfer specializes in data center-scale artificial intelligence with a focus on edge device deployment. The company offers solutions that enable large model inference on edge devices while maintaining a minimal memory footprint. OpenInfer's technology is designed for real-time AI applications and is compatible with popular frameworks like LangChain and LlamaIndex. It was founded in 2024 and is based in San Mateo, California.",Internet Software & Services,Application & Data Integration,United States,8.00,"B5 Capital, Essence VC Fund, Pretiosum Ventures, SilverCircle, Tau Ventures, Aparna Chennapragada, Brave Capital, Brendan Iribe, Cota Capital, Essence Capital, Gokul Rajaram, Jeff Dean, Operator Stack Fund, StemAI",8.00,Seed VC,2025-02-20,Alive / Active,2024,San Mateo,California,,,,,,
Sawmills,sawmills.ai,"Sawmills is a telemetry management platform that focuses on observability costs using AI and machine learning. The platform provides analysis and refinement of telemetry data to prevent outages and manage costs, without vendor lock-in. Sawmills serves the technology sector, providing solutions that improve data quality and reliability. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Data & Document Management,United States,10.00,"B5 Capital, Team8 Capital, Alumni Ventures, Mayfield, Team8",10.00,Seed VC,2025-02-19,Alive / Active,2024,San Francisco,California,,,,,,
Kookar AI,kookar.in,"Kookar AI develops an artificial intelligence-powered kitchen management system designed to automate meal preparation and streamline kitchen operations. It offers features such as auto grocery ordering, auto menu preparation, and auto cook alignment, enabling kitchen managers and chefs to optimize workflows, reduce food waste, and improve meal quality. It was founded in 2024 and is based in Gurugram, India.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",India,0.99,"Bharat Founders Fund, AL Trust, Good Capital, Longview Ventures",0.99,Seed VC,2025-09-10,Alive / Active,2024,Gurugram,,6.46,,,,,
Unframe,unframe.ai,"Unframe provides AI solutions through its Turnkey Enterprise AI Platform across various business sectors. The platform allows for deployment of AI solutions without the need for data sharing. Unframe's services aim to integrate with existing tech stacks. It was founded in 2024 and is based in Cupertino, California.",Internet Software & Services,Application & Data Integration,United States,50.00,"Bessemer Venture Partners, Cerca Partners, Craft Ventures, SentinelOne, TLV Partners, Terra Nova, Third Point Ventures",50.00,Series A,2025-04-03,Alive / Active,2024,Cupertino,California,,,,1,1,FY 2025
Bolo AI,bolo.ai,"Bolo AI provides AI-powered solutions for the energy sector, focusing on knowledge management and operational efficiency. The company offers AI products that unify data sources, facilitate natural language queries, and automate documentation processes to support decision-making and productivity in energy operations. Bolo AI's technology aims to assist energy industry operations by providing AI agents for workflows and errors. It was founded in 2024 and is based in Palo Alto, California.",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",United States,8.10,"Deco Ventures, Accomplice, Beat Ventures, Benchstrength, J Ventures, True Ventures",8.10,Seed VC,2025-06-11,Alive / Active,2024,Cupertino,California,,,,,,
SOLLONG,sollong.xyz,"SOLLONG operates within the Web3.0 domain. The company provides a platform for the sale of network resources through application programming interface (API) authorization, allowing users to utilize these resources for purposes like market research and artificial intelligence (AI) training. It serves businesses and institutions that require internet protocol (IP) addresses for digital operations. It was founded in 2024 and is based in Singapore.",Internet Software & Services,Application & Data Integration,Singapore,30.00,"Canonical Crypto, CitizenX, Cluster Capital, Collaborative Fund, PNYX Ventures",30.00,Seed VC,2024-06-26,Alive / Active,2024,,,,,,,,
Guideways,guideways.ai,"Guideways uses artificial intelligence to assist with regulatory approval, reimbursement planning, and quality management system (QMS) processes in the medtech and life sciences sectors. Its offerings include AI agents that automate submission preparation, post-market surveillance, QMS design, audit preparation, coding identification, and coverage & payment review. Guideways serves health technology companies and consulting businesses. It was founded in 2024 and is based in Utrecht, Netherlands.",Internet Software & Services,Healthcare,Netherlands,1.16,"UtrechtInc, Healthy.Capital, Rising Star Venture Partners",1.16,Pre-Seed,2025-11-06,Alive / Active,2024,Utrecht,,,,,,,
Aloudable,aloudable.com,"Aloudable offers services for transforming written content into podcasts using artificial intelligence (AI) technology. The company provides the conversion of newsletters, blogs, and whitepapers into audio format, utilizes voice cloning to replicate the client's voice, and includes custom music and transitions. Aloudable serves professional firms and businesses that aim to reach their audience through audio media. It was founded in 2024 and is based in London, United Kingdom.",Mobile Software & Services,Multimedia & Graphics,United Kingdom,0.38,"British Business Investments, SFC Capital",0.38,Seed VC,2025-04-01,Alive / Active,2024,London,England,,,,,,
freightmate Ai,freightmate.ai,"freightmate Ai specializes in AI-integrated freight management within the logistics sector. The company offers a system that automates freight forwarding operations, including document handling, and workflow optimization. The primary customers of Freightmate Ai are businesses within the global logistics and freight forwarding industry. It was founded in 2024 and is based in Bellevue, Washington.",Internet Software & Services,Supply Chain & Logistics,United States,5.00,"Wischoff Ventures, FUSE",5.00,Seed VC,2025-01-30,Alive / Active,2024,Bellevue,Washington,24.02,,,,,
Hiverge,hiverge.ai,"Hiverge works on artificial intelligence, focusing on program synthesis models within the technology sector. The company provides AI solutions for algorithmic discovery, which aim to assist in decision-making processes through optimization methods.  Its platform combines large language models with symbolic systems to autonomously find the most optimal algorithms for a given task. It was founded in 2024 and is based in Cambridge, United Kingdom.",Internet Software & Services,Application & Data Integration,United Kingdom,10.00,"1stkind, Alpha Intelligence Capital, Ahren, Flying Fish Venture Partners, Jeff Dean",5.00,Seed VC,2025-09-17,Alive / Active,2024,Cambridge,England,,,,,,
SOAI,soai.org,"SOAI facilitates the integration of artificial intelligence with emotional interaction within the digital companionship industry. It offers AI soulmates that provide personalized companionship and emotional support, utilizing algorithms for intelligent matching and multidimensional communication through text, voice, video, and virtual reality. It focuses on user privacy and security with encryption to protect personal data. The company was founded in 2024 and is based in South San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,5.00,"Archer Capital, X-Force Foundation",5.00,Seed VC,2024-04-02,Alive / Active,2024,South San Francisco,California,,,,,,
Periodic Labs,periodic.com,"Periodic Labs develops artificial intelligence systems to support scientific research within the physical sciences domain. The company creates AI systems and autonomous laboratories that conduct experiments and generate data for material discovery and other scientific research. Periodic Labs serves sectors that require physical sciences research and development, including semiconductor manufacturing and materials science. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,Science & Engineering,United States,300.00,"Bain Capital Ventures, Bezos Expeditions, Accel, Andreessen Horowitz, Bain Capital, Charles River Ventures, Coatue, DST Global, Elad Gil, Emerson Collective, Eric Schmidt, Felicis, Hanabi Capital, Jeff Bezos, Jeff Dean, Khosla Ventures, Lightspeed Venture Partners, Modern Capital, NVentures, Radical Ventures, SV Angel",300.00,Series A,2025-09-30,Alive / Active,2025,San Francisco,California,1000.00,,,,,
Promptfoo,promptfoo.dev,"Promptfoo focuses on AI security, specifically addressing language model vulnerabilities in the tech industry. The company provides tools for adaptive red teaming, model security, and evaluations to identify and mitigate risks in AI systems. Promptfoo serves enterprises that require AI security measures, including large companies and the developer community. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Testing,United States,23.40,"515 VENTURES, Andreessen Horowitz, Frederic Kerrest, Stanislav Vishnevskiy, Tobias Lutke, Insight Partners",18.40,Series A,2025-07-29,Alive / Active,2024,San Francisco,California,73.49,,,,,
Rondah AI,rondah.ai,"Rondah AI provides AI receptionist services for dental service organizations within the healthcare sector. The company offers an AI receptionist that manages appointment scheduling, call handling, and complex booking scenarios. Rondah AI's services integrate with practice management systems and provide analytics for front-office operations. It was founded in 2024 and is based in New York, New York.",Internet Software & Services,Customer Relationship Management,United States,1.92,"Techstars Oakland powered by J.P. Morgan, 2048 Ventures, Twelve Below",1.80,Pre-Seed,2025-04-09,Alive / Active,2024,New York,New York,,,,,,
Realm.Security,realm.security,"Realm.Security focuses on AI-native security data pipeline solutions in the cybersecurity industry. The company provides a platform for security teams to collect, filter, and manage log data, utilizing machine learning for detection processes. Its services aim to support security operations centers (SOCs) by facilitating log management and compliance. It was founded in 2024 and is based in Wellesley, Massachusetts.",Internet Software & Services,Monitoring & Security,United States,20.00,"Accomplice, Glasswing Ventures, Jump Capital",15.00,Series A,2025-10-08,Alive / Active,2024,Wellesley,Massachusetts,16.41,,,,,
Artifact,artifact.engineer,"Artifact provides tools for electrical system design within the engineering sector. Its offerings include an electrical design tool that supports engineers in creating and evolving systems through design, artificial intelligence (AI) assistance for tasks, and a workspace for varying levels of design fidelity. The company's products serve the aerospace and defense industries, where electrical systems are essential. It was founded in 2024 and is based in Atlanta, Georgia.",Internet Software & Services,Application & Data Integration,United States,0.50,"468 Capital, Floodgate, Moonfire, Y Combinator",0.50,Convertible Note,2025-01-01,Alive / Active,2024,Atlanta,Georgia,,,,,,
Hapax AI,askhapax.ai,"Hapax AI serves as a company specializing in artificial intelligence for the banking sector, providing a platform that democratizes financial services through advanced technology and industry knowledge. The company offers a banking AI platform that integrates into daily operations, providing decision-making support, regulatory compliance assistance, and operational efficiency through automation and data analysis. Hapax AI's platform is tailored to meet the needs of financial institutions of various sizes, increases ability to navigate the highly regulated banking environment. It was founded in 2024 and is based in Austin, Texas.",Internet Software & Services,Accounting & Finance,United States,2.60,RHS Investments,2.60,Seed VC,2024-04-03,Alive / Active,2024,Austin,Texas,,,,,,
Not Diamond,notdiamond.ai,"Not Diamond specializes in AI model routing within the technology sector. It offers a tool that allows developers to call the AI model for a given task, optimizing for speed and cost efficiency. Its solutions cater to developers looking to enhance their AI workflows with advanced model routing and prompt optimization features. The company was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Application & Data Integration,United States,2.30,"Next Play Ventures, Defy Partners, Ion Stoica, Jeff Dean, Jeff Weiner, Julien Chaumond, Scott Belsky, Tom Preston-Werner, Zack Kass",2.30,Seed VC,2024-07-30,Alive / Active,2024,San Francisco,California,,,,,,
Celero Communications,celero.inc,"Celero Communications focuses on coherent DSP technology for the AI infrastructure sector, specifically in optical transmission. The company provides a coherent DSP platform aimed at improving optical transmission efficiency, offering scalable optical links for computing and AI infrastructure. Celero Communications serves the AI infrastructure and data center connectivity sectors. It was founded in 2024 and is based in Irvine, California.",Towers & Infrastructure,,United States,138.40,"Sutter Hill Ventures, Atreides Management, Maverick Silicon, Valor Equity Partners, CapitalG",100.00,Series B,2025-11-17,Alive / Active,2024,Irvine,California,42.66,,,,,
Adam,adamcad.com,"Adam develops artificial intelligence-powered computer-aided design (CAD) tools within the technology sector. Its offerings include an AI agent that integrates with CAD platforms to assist in the design process by automating manual tasks, managing feature trees, and providing parametrization for 3D models. Its technology serves the mechanical engineering, 3D printing, and creative design sectors. It was founded in 2024 and is based in San Francisco, California.",Internet Software & Services,Multimedia & Graphics,United States,4.60,"468 Capital, Y Combinator, Pioneer Fund, Pioneer, Script Capital, TQ Ventures, Theo Browne, Tim Glaser, Transpose Platform, Trevor Blackwell",4.10,Seed VC - II,2025-10-31,Alive / Active,2024,San Francisco,California,,,,,,
Relling,rellingsystems.com,"Relling focuses on the development of AI models within the artificial intelligence sector. The company specializes in creating models that are trained on raw video experiences, integrating various types of data such as depth, IMU, audio, force, and gaze to understand and interact with complex real-world events. These models aim to address common visual challenges like blur and occlusion. It was founded in 2025 and is based in San Francisco, California.",Internet Software & Services,Multimedia & Graphics,United States,0.50,"Y Combinator, Salesforce Ventures",0.50,Convertible Note,2025-08-01,Alive / Active,2025,San Francisco,California,,,,,,
